# === TILT-CONTRACT-MANIFEST ===
# task_id: C10
# spec_version: V1.3
# ssot_checksum: TL-SSOT-2026-09-20-A
# baseline_version: B1.0
# produced_by: 元宝(Yuanbao)
# produced_at: 2026-09-20
# batch: all
# output_files:
#   - copy/tone_guide.csv   (rows: 100)
# unverified_count: 0
# self_check:
#   frozen_ids_only: true
#   enum_from_spec: true
#   no_absolute_claims: true
#   no_new_concepts: true
#   spec_numbers_unchanged: true
# known_deviations:
#   - "本任务两个 CSV 无领域维度，行序按场景/天数排列（4.1 的领域序约束不适用）"
#   - "CSV 顶部 manifest 按 4.5 执行，与 4.1「第一行为表头」的字面表述冲突，此处取 4.5"
# === END MANIFEST ===
"scenario","forbidden_sentence","recommended_sentence","why","source","verify_status"
"coordinate_value_orientation_money","你就是冲钱来的，去做销售。","价值取向偏向 money：销售 sales 启动成本 3、反馈速度 5，是否放进 3-5 个候选，取决于你的个人偏好。","用 SPEC 数值呈现取舍，不替用户排序。","cloud-draft","ok"
"coordinate_value_orientation_helping","你这么善良，适合做心理咨询。","价值取向偏向 helping：心理咨询 counseling 是启动成本 4、反馈速度 2，教学 teaching 是 2 和 4，两个都试 4 周看看，选哪个由你。","对比 SPEC 数值让用户自行权衡成本。","cloud-draft","ok"
"coordinate_risk_attitude_conservative","你胆小，别碰高投入的领域。","风险态度偏向 conservative：启动成本 2 的领域有 17 个，从这批开始 4 周试跑可能更稳，要不要加一个成本 4 的由你定。","禁止负面人格词；用启动成本分级做引导。","cloud-draft","ok"
"coordinate_risk_attitude_aggressive","你敢赌，就该押注高投入方向。","风险态度偏向 aggressive：启动成本 4 的领域有 12 个（如编程 programming、3D 建模 modeling_3d），放不放进候选由你决定。","不把风险态度升级为人生建议，只给候选范围。","cloud-draft","ok"
"coordinate_abstraction_level_theory","你爱空想，落地能力差。","抽象层级偏向 theory：哲学 philosophy、心理学 psychology 的启动成本都是 4，想配一个更落地的领域，可以再试一轮看看。","不做能力缺陷判定，改为组合建议。","cloud-draft","ok"
"coordinate_abstraction_level_operation","你只会执行，想不了战略。","抽象层级偏向 operation：反馈速度 4 以上的领域有 19 个，从这批开始 4 周试跑，具体选哪几个由你决定。","同理，避免反向否定式标签。","cloud-draft","ok"
"coordinate_summary","你的坐标系说明你就是这一类人。","6 维坐标系来自你的 18 道作答，给出的是起点而不是结论；筛到 3-5 个领域后跑满 4 周，判断权始终在你手里。","明确坐标系的用途边界，不定义人。","cloud-draft","ok"
"coordinate_answer_change","测评交了就不能改，这就是真实的你。","18 道题反映的是你此刻的选择，不是固定标签；如果某道题当时没想清楚，可以先记下来，等 4 周后再看它是否仍然成立，成不成立由你判断。","把结论延后到行为数据之后，避免一次作答定终身。","cloud-draft","ok"
"radar_axis_outer","你的空间智能 8 分，空间天赋很强。","雷达图上 spatial 这一项处在靠外位置：50 个领域里属于空间智能的有 7 个，挑 1 个跑 4 周看看，选不选由你决定。","雷达读的是相对位置，不是分数与上限。","cloud-draft","ok"
"radar_axis_inner","你音乐智能很低，别浪费时间。","雷达图上 musical 这一项相对靠内：音乐智能类只有 5 个领域，要不要拿其中 1 个做 4 周对照，取决于你的个人偏好。","靠内可能只是没投入过，不等于不适合。","cloud-draft","ok"
"radar_shape_uneven","你偏科很严重。","雷达图上各项离中心的距离差异较大（最外一项与最内一项相差约 2 个环），要不要先试最外那一项，由你决定。","用中性几何描述替代“偏科”这类评价词。","cloud-draft","ok"
"radar_shape_flat","你哪方面都不突出，没什么天赋。","雷达图上 8 项离中心的位置比较接近，说明 18 道题没给出明显偏向；这时挑 3-5 个领域各跑 4 周，可能是更有效的办法；要不要这么试，由你决定。","平坦代表信息不足，不代表没有天赋。","cloud-draft","ok"
"radar_peer_compare","你的空间智能超过 87% 的同龄人。","雷达图呈现的是你自己的 8 项相对位置；想要横向对照的话，可以等 4 周后的斜率出来再比较，比不比由你定。","不生成人群排名，避免制造虚假刻度。","cloud-draft","ok"
"radar_vs_coordinate","雷达图和坐标系完全一致，说明结果很准。","雷达图和 6 维坐标系都不是结论，只是两组线索；可以先按它们挑 3-5 个领域，4 周后再用斜率复核，采不采纳由你决定。","两组输入都不构成判定，统一降级为线索。","cloud-draft","ok"
"radar_early_data","数据不足，无法评估你。","雷达图目前只积累了第 1 周（L1-L2 阶段）的数据，后面 3 周还会继续变化，要不要等第 4 周再看由你定。","早期数据只说明样本量，不说明人。","cloud-draft","ok"
"radar_update_rhythm","雷达图一周更新一次，记得准时来看。","雷达图会随每天 15-30 分钟的行为数据变化，任务等级从第 1 周 L1-L2 升到第 4 周 L4-L5，什么时候看由你定。","不制造打卡焦虑，把查看节奏交回用户。","cloud-draft","ok"
"radar_axis_meaning","这一项代表你的天赋上限。","雷达图上的每一项只是当前数据的呈现，不构成上限判断；8 项里先动哪一项、还是直接忽略，由你决定。","明确雷达图不是能力天花板。","cloud-draft","ok"
"radar_share","把你的雷达图发出去给大家看看。","雷达图里包含你这 4 周的行为数据（对应 report_view、task_share 等记录），分享前可以先想清楚发出去的范围，发不发由你。","分享涉及隐私，文案只提示不催促。","cloud-draft","ok"
"grit_score_high","你的毅力满分，做什么都能成。","grit 分数显示你在这 4 周里保持了较高的完成连续性；它和斜率一起看更有意义，要不要继续加量由你定。","单一分数不推出人生结论，需与斜率交叉验证。","cloud-draft","ok"
"grit_score_low","你毅力太差，趁早放弃吧。","grit 分数目前偏低，可能和任务等级（第 1 周 L1-L2，第 4 周 L4-L5）或每天时长有关；把每天 30 分钟先降到 15 分钟试试，判断权在你。","禁止人格否定，改为可调参数的建议。","cloud-draft","ok"
"grit_score_middle","你的毅力一般般。","grit 分数处在中间区间，说明这 4 周里中断和继续都发生过；要不要看挫败后反弹力 bounce_back 那一项找原因，取决于你的个人偏好。","中间值同样是信息，引导用户自行拆解。","cloud-draft","ok"
"grit_vs_slope","毅力分高就一定进步快。","grit 分数看的是这 4 周的坚持，斜率看的是进步速度，两件事分开记；先重点看哪一个，由你决定。","区分两个口径，避免混淆因果。","cloud-draft","ok"
"grit_is_fixed","毅力是天生的，改不了。","grit 分数是这 4 周的行为结果，不是固定属性；想换个更容易坚持的领域还是换个时段，你可以再试一轮看看。","拒绝本质化表述，强调可变。","cloud-draft","ok"
"grit_daily_duration","你每天才练 15 分钟，肯定没效果。","每天 15-30 分钟是设计的投入区间，15 分钟在区间内；要不要调到 30 分钟，取决于你的个人偏好。","用 SPEC 区间纠正，不做额外要求。","cloud-draft","ok"
"grit_peer_rank","你的毅力超过 90% 的用户。","grit 分数只反映你自己的 4 周记录；想看变化的话，和自己上一周比会更清楚，比不比由你定。","不提供人群排名类判定。","cloud-draft","ok"
"grit_after_abandon","你又放弃了，说明你不适合。","中断记录（task_abandon）有 1 次，它和痛苦耐受度 pain_tolerance、挫败后反弹力 bounce_back 一起看更有信息量；换领域还是换时段由你定。","把一次事件放回指标体系中解释，不上升为结论。","cloud-draft","ok"
"grit_pain_tolerance","你吃不了苦。","痛苦耐受度 pain_tolerance 这项数值偏低，可能意味着当前任务等级偏高；回到 L2-L3 再跑一周看看，判断权在你。","用指标名与等级区间替代评价性词汇。","cloud-draft","ok"
"grit_deep_stage_gate","毅力分低的人进不了下一阶段。","要不要进入下一阶段，看的是 4 周斜率和你的意愿，不只是 grit 分数；继续还是暂停，取决于你的个人偏好。","不设置隐性门槛，判断权交回用户。","cloud-draft","ok"
"slope_high","你的进步斜率 0.6/周，说明你有天赋。","这个领域的进步斜率是 0.6/周，是这 4 周里变化较明显的信号之一；要不要把它作为接下来深入的方向，由你决定。","斜率是速度不是天赋证明，结论权归用户。","cloud-draft","ok"
"slope_flat","斜率只有 0.1/周，你在这个领域没戏。","这个领域的进步斜率是 0.1/周，4 周里变化不大；可能是投入时长不足，也可能是领域不合适，要不要再试一轮看看由你定。","平缓是待解释的现象，不是终局判断。","cloud-draft","ok"
"slope_negative","斜率 -0.2/周，你在退步，放弃吧。","这个领域的进步斜率是 -0.2/周，常出现在任务等级跳档（比如第 3 周从 L2-L3 升到 L3-L4）之后；要不要退回上一档再跑一周，由你决定。","给出可操作的归因方向，禁止劝退式结论。","cloud-draft","ok"
"slope_week1_noise","第 1 周斜率 0.9/周，你太厉害了。","第 1 周（L1-L2 阶段）的斜率是 0.9/周，通常包含熟悉任务的新鲜感；看到第 4 周再判断会更稳，看不看由你。","早期斜率噪声大，需提示观察周期。","cloud-draft","ok"
"slope_compare_two_domains","A 领域 0.5/周，B 领域 0.3/周，选 A 就对了。","写作（通用）writing_general 是 0.5/周，视频剪辑 video_editing 是 0.3/周，两者相差 0.2/周；这个差距够不够你做决定，取决于你的个人偏好。","呈现差值而非替用户选择（SPEC 11.4）。","cloud-draft","ok"
"slope_vs_task_level","你已经到 L4 了，水平肯定很高。","你目前在 L4-L5 区间，任务等级表示难度，不表示水平；两者分开看更清楚，要不要继续往上由你定。","区分难度等级与客观水平两个概念。","cloud-draft","ok"
"slope_small_sample","才练了 3 天，斜率 0.4/周已经能说明问题了。","3 天算出的斜率 0.4/周波动会比较大，跑满 4 周（28 天）更稳；要不要等满 4 周再看，由你决定。","样本量不足时提示置信度，不下结论。","cloud-draft","ok"
"slope_after_4_weeks","4 周结束了，结果已经定了。","4 周结束时的斜率是一个阶段结果；要不要再跑一轮，或用 8-12 周复核，取决于你的个人偏好。","阶段结果不是终局，保留继续探索的空间。","cloud-draft","ok"
"slope_slow_start","你起步慢，后面也快不了。","第 1 周斜率 0.1/周、第 4 周 0.5/周，属于常见的前慢后快形态；只看最后 2 周还是看全程，由你决定。","禁止用早期数据推断长期走势。","cloud-draft","ok"
"slope_plateau","第 3 周开始不涨了，你到顶了。","第 3-4 周斜率从 0.5/周降到 0.2/周，常和任务等级升到 L3-L4、L4-L5 同步出现；先稳住当前等级还是往上加，取决于你的个人偏好。","平台期先归因到难度跳档，不归因到能力上限。","cloud-draft","ok"
"slope_after_pause","中断过一次，斜率就不准了，重来吧。","暂停（task_pause）与恢复（task_resume）各 1 次后，斜率仍会按 4 周数据计算；是否重跑一轮，由你决定。","不夸大单次中断的影响。","cloud-draft","ok"
"slope_vs_absolute_level","你斜率 0.6/周，水平已经很高了。","斜率 0.6/周说的是进步速度，客观水平是另一项读数；两个都看一下再判断，重点看哪个由你定。","速度高不等于水平高，必须区分。","cloud-draft","ok"
"slope_report_headline","报告结论：你最适合写作。","报告里的 4 周斜率依次是写作（通用）writing_general 0.6/周、视频剪辑 video_editing 0.4/周、瑜伽 yoga 0.2/周；选哪个继续，取决于你的个人偏好。","报告只排序与呈现，不给出“最适合”的判定。","cloud-draft","ok"
"slope_single_domain","只跑 1 个领域，斜率 0.6/周也够用了。","只跑 1 个领域时，0.6/周缺少对照；同时跑 3-5 个领域的斜率对比信息量更大，要不要加几个由你定。","强调对照的价值，但不强制。","cloud-draft","ok"
"metric_bounce_back_high","你抗挫能力满分，什么都能扛。","挫败后反弹力 bounce_back 显示你在这 4 周里重试（task_retry）后的恢复较快；这一项要和斜率一起看，怎么用由你决定。","单项指标高不等于总体结论。","cloud-draft","ok"
"metric_bounce_back_low","你一挫败就崩，不适合有挑战的事。","挫败后反弹力 bounce_back 偏低，可能和当前任务等级偏高有关；回到 L2-L3 跑一周看看，判断权在你。","归因到任务难度而非人格。","cloud-draft","ok"
"metric_repetition_high","你天生就爱重复，很适合练基本功。","重复意愿 repetition 偏高，说明这 4 周里你多次主动回到同一类任务；要不要据此加练，取决于你的个人偏好。","描述行为倾向，不做性格归因。","cloud-draft","ok"
"metric_repetition_low","你三分钟热度，成不了事。","重复意愿 repetition 偏低，可能意味着这批任务的反馈速度不够快；换一个反馈速度 5 的领域试试，由你决定。","给出可调方向，不使用否定人格词。","cloud-draft","ok"
"metric_detail_sensitivity_high","你是细节控，适合做精细活。","细节敏感度 detail_sensitivity 偏高，在视频剪辑 video_editing、UI 设计 ui_design 这类领域可能更容易体现（这 4 周里有 3 次返工记录）；放不放进候选由你定。","把指标映射到候选领域，不做岗位结论。","cloud-draft","ok"
"metric_detail_sensitivity_low","你太粗心了。","细节敏感度 detail_sensitivity 偏低，可能只是当前任务没触发到；这 4 周之后再换一类任务看一轮，判断权在你。","低值先归因到任务匹配度。","cloud-draft","ok"
"metric_proactive_optimization_high","你天生会优化，是当管理者的料。","主动优化倾向 proactive_optimization 偏高，说明这 4 周里你常主动改自己的做法；要不要挑更能发挥这一点的领域，由你决定。","禁止把行为指标升级为职业判断。","cloud-draft","ok"
"metric_proactive_optimization_low","你不会主动改进，天花板很低。","主动优化倾向 proactive_optimization 偏低，可能因为任务还在第 1 周的 L1-L2 难度；等到 L4-L5 再看一次，等不等由你定。","低值先归因到任务阶段。","cloud-draft","ok"
"metric_pain_tolerance_high","你特别能扛，直接上最难的。","痛苦耐受度 pain_tolerance 偏高：MVP 目前只开放 L1-L5，L6-L10 会在 V1.0 再做；现阶段怎么加量，由你决定。","用版本边界纠正期待，不做强度推荐。","cloud-draft","ok"
"metric_pain_tolerance_low","你一点苦都吃不了。","痛苦耐受度 pain_tolerance 偏低，配合每天 15-30 分钟的投入看更有意义；把时长先调到 15 分钟试试，判断权在你。","用可调参数替代评价性结论。","cloud-draft","ok"
"metric_overview","5 维指标里你 4 项都高，天赋确认了。","5 维指标（bounce_back、repetition、detail_sensitivity、proactive_optimization、pain_tolerance）里有 4 项处在偏外位置，它们读的是行为倾向，不是天赋结论，怎么用由你决定。","指标是行为读数，不是天赋判定书。","cloud-draft","ok"
"metric_all_inner","5 项全偏低，你还是别试了。","5 维指标目前都处在偏内位置，可能只是任务没对上；换 1-2 个领域再跑 4 周看看，判断权在你。","全面偏低时建议换样本，不建议退出。","cloud-draft","ok"
"cross_domain_top","你最擅长的领域是写作。","4 周斜率最高的是写作（通用）writing_general（0.6/周），它是目前信号最强的一个；要不要作为下一阶段重点，由你决定。","最强信号 ≠ 最擅长，避免判定式表述。","cloud-draft","ok"
"cross_domain_bottom","瑜伽是你的弱项，别做了。","瑜伽 yoga 的 4 周斜率是 0.1/周，是这 3 个领域里最平缓的；它是暂时平缓还是不合适，你可以再试一轮看看。","最低斜率同样是待解释数据。","cloud-draft","ok"
"cross_domain_close_scores","0.5/周 和 0.48/周，选前者没错。","两个领域的斜率是 0.5/周 和 0.48/周，相差 0.02/周；这么小的差距建议再跑一轮，怎么选取决于你的个人偏好。","差距小于噪声时不替用户拍板。","cloud-draft","ok"
"cross_domain_abandoned","你放弃了 2 个领域，说明你没长性。","有 2 个领域出现中断记录（task_abandon），可能和启动成本有关（3D 建模 modeling_3d 是 4）；要不要换成启动成本 2 的领域，由你定。","把放弃归因到成本匹配，而非意志力。","cloud-draft","ok"
"cross_domain_switch","你换领域太频繁，这是缺点。","切换记录（domain_switch）有 3 次，配合重复意愿 repetition 一起看更有信息量；是否收敛到 3-5 个领域，由你决定。","切换行为中性化，交给用户自行解读。","cloud-draft","ok"
"cross_domain_feedback_speed","反馈慢的领域都不值得做。","哲学 philosophy 反馈速度 1、DJ djing 反馈速度 5，两者在 4 周里的体感差别很大；各放一个做对照，取决于你的个人偏好。","用属性差异代替价值判断。","cloud-draft","ok"
"cross_domain_startup_cost","启动成本 4 的太难，直接跳过。","启动成本 4 的领域有 12 个，启动成本 2 的有 17 个；两类各挑 1 个做 4 周对照，选不选由你定。","成本高低是取舍维度，不是好坏标准。","cloud-draft","ok"
"cross_domain_mechanism_strength","机制强度低的领域练了也白练。","羽毛球 badminton 机制强度 4、写作（通用）writing_general 机制强度 2，前者反馈更密集；要不要优先试密集反馈的，由你决定。","机制强度描述反馈密度，不描述价值。","cloud-draft","ok"
"cross_domain_gardner_mix","你语言智能强，就别碰身体类了。","语言智能类有 7 个领域、身体-运动智能类也有 7 个；跨类各挑 1 个跑 4 周，比只试一类信息量更大，选谁由你定。","鼓励跨类对照，不收缩探索范围。","cloud-draft","ok"
"cross_domain_time_budget","你在写作上花的时间最多，肯定最喜欢它。","3 个领域的日均投入分别是 28 分钟、19 分钟、15 分钟，都在 15-30 分钟区间内；时长和斜率是否一致，你可以自己核对一下。","投入时长与偏好不是一回事，交回用户核对。","cloud-draft","ok"
"cross_domain_next_stage_pick","系统建议你接下来深入写作。","目前斜率前两位是写作（通用）writing_general（0.6/周）和视频剪辑 video_editing（0.4/周）；只留 1 个还是都留，取决于你的个人偏好。","AI 不得决定推荐哪个领域（SPEC 11.4）。","cloud-draft","ok"
"cross_domain_tie","两个一样好，随便选一个吧。","两个领域的斜率都是 0.35/周，重复意愿 repetition 分别是偏高和偏内；要不要用这些细分项做决定，由你定。","并列时提供细分口径，不替用户随机决定。","cloud-draft","ok"
"deep_stage_enter","恭喜进入深度阶段，说明你在这个方向有天赋。","这个领域 4 周斜率 0.6/周，具备进入下一阶段的条件；进不进，取决于你的个人偏好。","进入条件不等于天赋证明。","cloud-draft","ok"
"deep_stage_not_enter","你没进深度阶段，说明你不行。","3 个领域的斜率分别是 0.2/周、0.15/周、0.1/周，暂时没有明显领先的一个；再跑一轮还是换领域，都可以由你定。","未进入只是当前数据状态。","cloud-draft","ok"
"deep_stage_duration","深度阶段只要 8 周就能出成果。","部分领域的下一阶段建议 8-12 周，比 4 周长 1-2 倍；要不要投入这么长的时间，取决于你的个人偏好。","时长是成本信息，不承诺成果。","cloud-draft","ok"
"deep_stage_level","你现在 L5，下一阶段直接上 L8。","MVP 目前开放 L1-L5，L6-L10 会在 V1.0 再做；现阶段想在难度上加码，可以先在 L4-L5 里加量，由你定。","用版本边界如实回答，不虚构高阶内容。","cloud-draft","ok"
"deep_stage_keep_two","你只能深入 1 个，别贪心。","也可以同时保留 2 个领域（每领域每天 15-30 分钟，合计 30-60 分钟）；留 1 个还是 2 个，取决于你的个人偏好。","数量是用户的时间预算问题，不是产品禁令。","cloud-draft","ok"
"deep_stage_drop_one","瑜伽斜率最低，砍掉它。","瑜伽 yoga 的斜率 0.1/周，比另外两个低约 0.3/周；要不要先停掉它，你可以再试一轮看看再决定。","停不停由用户决定，文案只呈现差值。","cloud-draft","ok"
"deep_stage_ready_check","系统判定你已具备深入条件。","可以自己核对三项：4 周斜率是否领先、重复意愿 repetition 是否稳定、每天 15-30 分钟能否维持；结论由你下。","把判定权明确交还用户。","cloud-draft","ok"
"deep_stage_not_ready","你还不具备深入的资格。","目前斜率最高的是 0.25/周，和其他领域差距不到 0.1/周；先补齐数据再判断，还是现在就选，由你决定。","不用资格类词汇制造门槛感。","cloud-draft","ok"
"deep_stage_task_difficulty","深度阶段任务会自动变难，你跟上就行。","任务等级从第 1 周 L1-L2 升到第 4 周 L4-L5，下一阶段难度会继续上升；觉得吃力时可以退回上一档，由你定。","难度上升是节奏设计，用户可自行回调。","cloud-draft","ok"
"deep_stage_review_cycle","进去了就别轻易退出。","每 4 周可以复核一次斜率；继续、暂停还是换领域，判断权一直在你手里。","不制造沉没成本压力。","cloud-draft","ok"
"desugar_result_high","去糖测试满分，你是真爱这个领域。","去糖测试里你保持了连续 4 天投入，日均 24 分钟；这个信号怎么用，取决于你的个人偏好。","单轮结果只作线索，不上升为真爱判定。","cloud-draft","ok"
"desugar_result_low","去掉反馈你就不练了，说明是假兴趣。","这轮去糖测试的 7 天里，有记录的从 5 天降到 2 天；可能只是难度或时段的问题，要不要再试一轮看看由你定。","低完成率先归因到外部条件。","cloud-draft","ok"
"desugar_result_flat","去糖前后没变化，这次测试白做了。","去糖测试前后日均投入都是 22 分钟，这段时间变化不大；要不要延长观察，取决于你的个人偏好。","无差异也是有效信息，不否定测试。","cloud-draft","ok"
"desugar_meaning","去糖测试就是测你有没有天赋。","去糖测试是其中一种观察口径，和 4 周斜率、重复意愿 repetition 一样只是线索；怎么解读由你决定。","不定义新概念，也不赋予判定含义。","cloud-draft","ok"
"desugar_retry","去糖测试没过，这个领域可以结案了。","这轮去糖测试的完成率是 3/7 天；再跑一轮还是换个时段，由你决定。","拒绝“结案”式结论，保留再来一轮的空间。","cloud-draft","ok"
"desugar_vs_slope","去糖结果和斜率矛盾，以斜率为准。","去糖测试完成率 5/7 天，同期斜率 0.3/周；两个口径不一致时多看一轮数据通常更稳，怎么看由你定。","不替用户在口径之间做取舍。","cloud-draft","ok"
"desugar_share","把去糖测试结果发出来让大家评评。","这轮 7 天的去糖测试结果属于你的行为数据，分享范围可以在设置调整（settings_change）里定；发不发、发给谁，由你决定。","涉及数据外传，只提示不鼓励。","cloud-draft","ok"
"desugar_incomplete","去糖测试没完成，说明你该放弃了。","这轮去糖测试有 2 天没有记录；补记、跳过还是换个时段，下一步怎么走由你决定。","未完成是状态，不是结论。","cloud-draft","ok"
"onboarding_first_run","18 道题就能测出你的天赋方向。","先用 18 道题建立 6 维坐标系，系统会映射出 30-50 个候选领域；筛到 3-5 个后各跑 4 周，选哪些由你定。","onboarding 只承诺流程，不承诺“测出天赋”。","cloud-draft","ok"
"privacy_data_usage","你的数据我们会拿去训练模型，放心。","行为数据用于计算你的斜率和 5 维指标；数据怎么用、能不能删，以你在设置里（settings_change）的选择为准，怎么定由你决定。","涉及数据用途时不替用户承诺。","cloud-draft","ok"
"community_signal","一个人练效果也一样。","独自尝试可能损失约 60% 的信号；要不要找人一起练、把进度分享（task_share）用起来，取决于你的个人偏好。","社群价值用产品原则表述，不强制。","cloud-draft","ok"
"insufficient_data_overall","数据太少，给不了你任何结论。","目前只有 6 天、每个领域累计约 90 分钟的数据；跑到 4 周（28 天）再看斜率会更稳，等不等由你定。","样本不足时提示等待成本，不给空结论。","cloud-draft","ok"
